Price,Quantity,Type,Timestamp
37952000,0.3637,1,2022.5.22 0:40
37953000,0.0531,1,2022.5.22 0:40
37954000,0.0504,1,2022.5.22 0:40
37955000,0.0003,1,2022.5.22 0:40
37934000,0.0169,0,2022.5.22 0:40
37933000,0.0131,0,2022.5.22 0:40
37932000,0.1822,0,2022.5.22 0:40
37929000,0.3979,0,2022.5.22 0:40
37927000,0.1624,0,2022.5.22 0:40
37951000,0.0389,1,2022.5.22 0:40
37952000,0.3637,1,2022.5.22 0:40
37953000,0.0531,1,2022.5.22 0:40
37954000,0.0504,1,2022.5.22 0:40
37955000,0.0003,1,2022.5.22 0:40
37934000,0.0123,0,2022.5.22 0:40
37933000,0.0131,0,2022.5.22 0:40
37932000,0.1822,0,2022.5.22 0:40
37930000,0.1622,0,2022.5.22 0:40
37929000,0.3979,0,2022.5.22 0:40
37951000,0.0389,1,2022.5.22 0:40
37952000,0.3637,1,2022.5.22 0:40
37953000,0.0531,1,2022.5.22 0:40
37954000,0.0504,1,2022.5.22 0:40
37955000,0.0003,1,2022.5.22 0:40
37938000,0.0158,0,2022.5.22 0:40
37936000,0.0709,0,2022.5.22 0:40
37935000,0.1624,0,2022.5.22 0:40
37934000,0.0508,0,2022.5.22 0:40
37933000,0.0131,0,2022.5.22 0:40
37951000,0.0389,1,2022.5.22 0:40
37953000,0.0531,1,2022.5.22 0:40
37954000,0.0504,1,2022.5.22 0:40
37955000,0.0003,1,2022.5.22 0:40
37956000,0.0003,1,2022.5.22 0:40
37938000,0.0158,0,2022.5.22 0:40
37936000,0.0709,0,2022.5.22 0:40
37934000,0.0508,0,2022.5.22 0:40
37933000,0.0131,0,2022.5.22 0:40
37932000,0.1822,0,2022.5.22 0:40
37951000,0.0389,1,2022.5.22 0:40
37953000,0.0531,1,2022.5.22 0:40
37954000,0.0504,1,2022.5.22 0:40
37955000,0.0003,1,2022.5.22 0:40
37956000,0.0003,1,2022.5.22 0:40
37938000,0.0158,0,2022.5.22 0:40
37936000,0.0709,0,2022.5.22 0:40
37934000,0.0508,0,2022.5.22 0:40
37933000,0.0131,0,2022.5.22 0:40
37932000,0.1822,0,2022.5.22 0:40
37951000,0.0389,1,2022.5.22 0:40
37953000,0.0531,1,2022.5.22 0:40
37954000,0.0504,1,2022.5.22 0:40
37955000,0.0003,1,2022.5.22 0:40
37956000,0.0003,1,2022.5.22 0:40
37938000,0.0158,0,2022.5.22 0:40
37936000,0.0709,0,2022.5.22 0:40
37934000,0.0508,0,2022.5.22 0:40
37933000,0.1754,0,2022.5.22 0:40
37932000,0.1822,0,2022.5.22 0:40
37951000,0.0001,1,2022.5.22 0:40
37953000,0.0531,1,2022.5.22 0:40
37954000,0.0504,1,2022.5.22 0:40
37955000,0.0003,1,2022.5.22 0:40
37956000,0.0003,1,2022.5.22 0:40
37938000,0.0158,0,2022.5.22 0:40
37936000,0.0709,0,2022.5.22 0:40
37934000,0.0508,0,2022.5.22 0:40
37933000,0.0131,0,2022.5.22 0:40
37932000,0.1822,0,2022.5.22 0:40
37951000,0.0001,1,2022.5.22 0:40
37953000,0.0531,1,2022.5.22 0:40
37954000,0.0504,1,2022.5.22 0:40
37955000,0.0003,1,2022.5.22 0:40
37956000,0.0003,1,2022.5.22 0:40
37938000,0.0158,0,2022.5.22 0:40
37936000,0.0709,0,2022.5.22 0:40
37934000,0.0508,0,2022.5.22 0:40
37933000,0.0131,0,2022.5.22 0:40
37932000,0.1822,0,2022.5.22 0:40
37951000,0.0008,1,2022.5.22 0:40
37953000,0.0531,1,2022.5.22 0:40
37954000,0.0504,1,2022.5.22 0:40
37955000,0.0003,1,2022.5.22 0:40
37956000,0.0003,1,2022.5.22 0:40
37946000,0.0148,0,2022.5.22 0:41
37938000,0.0158,0,2022.5.22 0:41
37936000,0.0709,0,2022.5.22 0:41
37934000,0.0508,0,2022.5.22 0:41
37933000,0.1761,0,2022.5.22 0:41
37951000,0.0008,1,2022.5.22 0:41
37953000,0.0531,1,2022.5.22 0:41
37954000,0.0504,1,2022.5.22 0:41
37955000,0.0003,1,2022.5.22 0:41
37956000,0.0003,1,2022.5.22 0:41
37938000,0.0158,0,2022.5.22 0:41
37934000,0.0027,0,2022.5.22 0:41
37933000,0.0131,0,2022.5.22 0:41
37932000,0.0539,0,2022.5.22 0:41
37929000,0.3979,0,2022.5.22 0:41
37944000,0.1882,1,2022.5.22 0:41
37949000,0.1909,1,2022.5.22 0:41
37950000,0.1051,1,2022.5.22 0:41
37951000,0.0008,1,2022.5.22 0:41
37952000,0.4023,1,2022.5.22 0:41
37920000,0.0547,0,2022.5.22 0:41
37918000,4.2236,0,2022.5.22 0:41
37917000,0.0001,0,2022.5.22 0:41
37916000,0.0003,0,2022.5.22 0:41
37915000,0.0003,0,2022.5.22 0:41
37927000,0.068,1,2022.5.22 0:41
37934000,0.1043,1,2022.5.22 0:41
